8311, 8.2, 0.7, 6.3, 0.1, 12.4, 150.2, 6.8, 0.1, 10.8, 66.2
8312, 14.9, 150.1, 8.4, 3.2, 15.6, 940.0, 8.6, 2.2, 16.1, 737.0
8313, 15.0, 89.2, 15.2, 833.4, 13.0, 19.4, 14.4, 55.6, 9.0, 2.2
8314, 6.2, 0.1, 10.9, 45.3, 10.2, 4.2, 11.8, 54.1, 7.9, 1.6
8315, 11.1, 56.2, 13.0, 18.2, 11.1, 24.5, 9.8, 5.4, 11.1, 66.7
8316, 12.8, 10.2, 10.4, 11.4, 11.9, 68.4, 12.9, 13.5, 13.1, 326.1
8317, 11.1, 15.2, 8.4, 2.5, 9.1, 0.5, 11.7, 21.2, 9.2, 2.6
8318, 16.5, 95.2, 5.8, 0.1, 17.5, 840.4, 6.9, 0.4, 14.1, 93.6
8319, 8.1, 0.7, 6.1, 0.5, 9.4, 6.2, 7.9, 0.6, 16.2, 945.5
8320, 10.7, 16.5, 13.8, 97.4, 13.8, 21.8, 12.6, 94.8, 4.5, 0.1
